chromosome,gene_id,locus_tag,gene_name,cds_start,cds_end,strand,product,protein_id,cds_length
NC_000962.3,Rv2152c,Rv2152c,murC,2410641,2412122,-,UDP-N-acetylmuramate--alanine ligase,NP_216668.1,1482
NC_000962.3,Rv2153c,Rv2153c,murG,2412122,2413351,-,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol-N-acetylglucosamine transferase,NP_216669.1,1230
NC_000962.3,Rv2154c,Rv2154c,ftsW,2413351,2414922,-,lipid II flippase FtsW,NP_216670.1,1572
NC_000962.3,Rv2155c,Rv2155c,murD,2414937,2416394,-,UDP-N-acetylmuramoylalanine--D-glutamate ligase,NP_216671.3,1458
NC_000962.3,Rv2156c,Rv2156c,murX,2416399,2417475,-,phospho-N-acetylmuramoyl-pentappeptidetransferase,NP_216672.1,1077
NC_000962.3,Rv2157c,Rv2157c,murF,2417475,2419004,-,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,NP_216673.1,1530
NC_000962.3,Rv2158c,Rv2158c,murE,2419004,2420608,-,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase",NP_216674.1,1605
NC_000962.3,Rv2159c,Rv2159c,,2420634,2421665,-,hypothetical protein,NP_216675.1,1032
NC_000962.3,Rv2161c,Rv2161c,,2422274,2423137,-,hypothetical protein,NP_216677.1,864
NC_000962.3,Rv2162c,Rv2162c,PE_PGRS38,2423243,2424838,-,PE-PGRS family protein PE_PGRS38,YP_177865.1,1596
NC_000962.3,Rv2163c,Rv2163c,pbpB,2425051,2427087,-,penicillin-binding membrane protein PbpB,NP_216679.1,2037
NC_000962.3,Rv2164c,Rv2164c,,2427087,2428238,-,hypothetical protein,NP_216680.1,1152
NC_000962.3,Rv2165c,Rv2165c,,2428238,2429425,-,rRNA small subunit methyltransferase H,NP_216681.4,1188
NC_000962.3,Rv2166c,Rv2166c,,2429430,2429858,-,transcriptional regulator MraZ,NP_216682.1,429
NC_000962.3,Rv2169c,Rv2169c,,2431568,2431969,-,transmembrane protein,NP_216685.1,402
NC_000962.3,Rv2170,Rv2170,,2432235,2432852,+,GCN5-like N-acetyltransferase,NP_216686.1,618
NC_000962.3,Rv2171,Rv2171,lppM,2432951,2433631,+,lipoprotein LppM,NP_216687.1,681
NC_000962.3,Rv2172c,Rv2172c,,2433634,2434536,-,hypothetical protein,NP_216688.1,903
NC_000962.3,Rv2173,Rv2173,idsA2,2434847,2435902,+,geranylgeranyl pyrophosphate synthetase IdsA,NP_216689.1,1056
NC_000962.3,Rv2174,Rv2174,mptA,2435909,2437456,+,alpha(1->6)-mannopyranosyltransferase A,NP_216690.1,1548
NC_000962.3,Rv2175c,Rv2175c,,2437449,2437886,-,DNA-binding protein,NP_216691.1,438
NC_000962.3,Rv2176,Rv2176,pknL,2437941,2439137,+,serine/threonine-protein kinase PknL,NP_216692.1,1197
NC_000962.3,Rv2177c,Rv2177c,,2439285,2439947,-,transposase,NP_216693.1,663
NC_000962.3,Rv2178c,Rv2178c,aroG,2440335,2441720,-,phospho-2-dehydro-3-deoxyheptonate aldolase AroG,NP_216694.1,1386
NC_000962.3,Rv2179c,Rv2179c,,2441814,2442317,-,3'-5' exoribonuclease,NP_216695.1,504
NC_000962.3,Rv2180c,Rv2180c,,2442330,2443214,-,integral membrane protein,NP_216696.1,885
NC_000962.3,Rv2181,Rv2181,,2443302,2444582,+,alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase,NP_216697.1,1281
NC_000962.3,Rv2182c,Rv2182c,,2444589,2445329,-,1-acylglycerol-3-phosphate O-acyltransferase,NP_216698.1,741
NC_000962.3,Rv2183c,Rv2183c,,2445418,2445810,-,hypothetical protein,NP_216699.1,393
NC_000962.3,Rv2184c,Rv2184c,,2445810,2446946,-,hypothetical protein,NP_216700.1,1137
NC_000962.3,Rv2185c,Rv2185c,TB16.3,2447069,2447500,-,hypothetical protein,NP_216701.1,432
NC_000962.3,Rv2186c,Rv2186c,,2447608,2447994,-,hypothetical protein,NP_216702.1,387
NC_000962.3,Rv2187,Rv2187,fadD15,2448160,2449959,+,long-chain-fatty-acid--CoA ligase FadD15,NP_216703.1,1800
NC_000962.3,Rv2188c,Rv2188c,pimB,2449996,2451150,-,alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase,NP_216704.2,1155
NC_000962.3,Rv2189c,Rv2189c,,2451250,2452020,-,hypothetical protein,NP_216705.1,771
NC_000962.3,Rv2190c,Rv2190c,,2452118,2453272,-,endopeptidase,NP_216706.1,1155
NC_000962.3,Rv2191,Rv2191,,2453819,2455753,+,hypothetical protein,NP_216707.1,1935
NC_000962.3,Rv2192c,Rv2192c,trpD,2455634,2456743,-,anthranilate phosphoribosyltransferase,NP_216708.1,1110
NC_000962.3,Rv2193,Rv2193,ctaE,2456901,2457509,+,cytochrome C oxidase subunit III,NP_216709.1,609
NC_000962.3,Rv2194,Rv2194,qcrC,2457553,2458392,+,ubiquinol-cytochrome C reductase cytochrome subunit C,NP_216710.1,840
NC_000962.3,Rv2195,Rv2195,qcrA,2458392,2459678,+,ubiquinol-cytochrome C reductase rieske iron-sulfur subunit,NP_216711.1,1287
NC_000962.3,Rv2196,Rv2196,qcrB,2459678,2461324,+,ubiquinol-cytochrome C reductase cytochrome subunit B,NP_216712.1,1647
NC_000962.3,Rv2197c,Rv2197c,,2461507,2462148,-,transmembrane protein,NP_216713.1,642
NC_000962.3,Rv2198c,Rv2198c,mmpS3,2462151,2463047,-,membrane protein MmpS3,NP_216714.1,897
NC_000962.3,Rv2199c,Rv2199c,,2463236,2463652,-,cytochrome c oxidase polypeptide 4,NP_216715.1,417
NC_000962.3,Rv2200c,Rv2200c,ctaC,2463663,2464751,-,cytochrome C oxidase subunit II,NP_216716.1,1089
NC_000962.3,Rv2201,Rv2201,asnB,2464997,2466952,+,asparagine synthetase,NP_216717.1,1956
NC_000962.3,Rv2202c,Rv2202c,adoK,2467056,2468027,-,adenosine kinase,NP_216718.1,972
NC_000962.3,Rv2203,Rv2203,,2468231,2468920,+,membrane protein,NP_216719.1,690
NC_000962.3,Rv2204c,Rv2204c,,2468934,2469287,-,hypothetical protein,NP_216720.1,354
NC_000962.3,Rv2205c,Rv2205c,,2469390,2470463,-,hypothetical protein,NP_216721.2,1074
NC_000962.3,Rv2206,Rv2206,,2470622,2471329,+,transmembrane protein,NP_216722.2,708
NC_000962.3,Rv2207,Rv2207,cobT,2471411,2472493,+,nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase,NP_216723.1,1083
NC_000962.3,Rv2208,Rv2208,cobS,2472493,2473239,+,adenosylcobinamide-GDP ribazoletransferase,NP_216724.1,747
NC_000962.3,Rv2209,Rv2209,,2473400,2474935,+,integral membrane protein,NP_216725.1,1536
NC_000962.3,Rv2210c,Rv2210c,ilvE,2474867,2475970,-,branched-chain amino acid aminotransferase,NP_216726.1,1104
NC_000962.3,Rv2211c,Rv2211c,gcvT,2476045,2477181,-,aminomethyltransferase,NP_216727.1,1137
NC_000962.3,Rv2212,Rv2212,,2477190,2478323,+,adenylyl cyclase,NP_216728.1,1134
NC_000962.3,Rv2213,Rv2213,pepB,2478338,2479882,+,cytosol aminopeptidase,NP_216729.1,1545
NC_000962.3,Rv2214c,Rv2214c,ephD,2479926,2481701,-,oxidoreductase EphD,NP_216730.1,1776
NC_000962.3,Rv2215,Rv2215,dlaT,2481965,2483623,+,pyruvate dehydrogenase E2 component dihydrolipoamide acyltransferase,NP_216731.1,1659
NC_000962.3,Rv2216,Rv2216,,2483626,2484528,+,epimerase family protein,NP_216732.1,903
NC_000962.3,Rv2217,Rv2217,lipB,2484584,2485273,+,octanoyltransferase,NP_216733.1,690
NC_000962.3,Rv2218,Rv2218,lipA,2485273,2486205,+,lipoyl synthase,NP_216734.1,933
NC_000962.3,Rv2219,Rv2219,,2486235,2486984,+,transmembrane protein,NP_216735.1,750
NC_000962.3,Rv2219A,Rv2219A,,2486997,2487416,-,membrane protein,YP_177661.1,420
NC_000962.3,Rv2220,Rv2220,glnA1,2487615,2489048,+,glutamine synthetase,NP_216736.1,1434
NC_000962.3,Rv2221c,Rv2221c,glnE,2489372,2492353,-,[glutamate--ammonia-ligase] adenylyltransferase,NP_216737.1,2982
NC_000962.3,Rv2222c,Rv2222c,glnA2,2492405,2493742,-,glutamine synthetase,NP_216738.1,1338
NC_000962.3,Rv2223c,Rv2223c,,2493840,2495399,-,carboxylesterase B,NP_216739.1,1560
NC_000962.3,Rv2224c,Rv2224c,caeA,2495464,2497023,-,carboxylesterase A,NP_216740.1,1560
NC_000962.3,Rv2224d,Rv2224d,,2497228,2497446,-,hypothetical protein,YP_009030036.1,219
NC_000962.3,Rv2225,Rv2225,panB,2497742,2498584,+,3-methyl-2-oxobutanoate hydroxymethyltransferase,NP_216741.1,843
NC_000962.3,Rv2226,Rv2226,,2498832,2500370,+,hypothetical protein,NP_216742.1,1539
NC_000962.3,Rv2227,Rv2227,,2500931,2501629,+,hypothetical protein,NP_216743.1,699
NC_000962.3,Rv2228c,Rv2228c,,2501647,2502738,-,multifunctional RNASE H/alpha-ribazole phosphatase/acid phosphatase,NP_216744.1,1092
NC_000962.3,Rv2229c,Rv2229c,,2502738,2503472,-,hypothetical protein,NP_216745.1,735
NC_000962.3,Rv2230c,Rv2230c,,2503472,2504608,-,GTP cyclohydrolase,NP_216746.1,1137
NC_000962.3,Rv2231c,Rv2231c,cobC,2504608,2505699,-,aminotransferase,NP_216747.1,1092
NC_000962.3,Rv2231A,Rv2231A,vapC16,2505739,2506161,-,ribonuclease VapC16,YP_007410917.1,423
NC_000962.3,Rv2231B,Rv2231B,vapB16,2506210,2506383,-,antitoxin VapB16,YP_007410918.1,174
NC_000962.3,Rv2232,Rv2232,ptkA,2506278,2507150,+,protein tyrosine kinase transcriptional regulator PtkA,NP_216748.2,873
NC_000962.3,Rv2234,Rv2234,ptpA,2507146,2507634,+,protein-tyrosine-phosphatase,NP_216750.1,489
NC_000962.3,Rv2235,Rv2235,,2507637,2508449,+,transmembrane protein,NP_216751.1,813
NC_000962.3,Rv2236c,Rv2236c,cobD,2508437,2509375,-,cobalamin biosynthesis transmembrane protein CobD,NP_216752.1,939
NC_000962.3,Rv2237,Rv2237,,2509489,2510253,+,hypothetical protein,NP_216753.1,765
NC_000962.3,Rv2237A,Rv2237A,,2510354,2510587,-,hypothetical protein,YP_004837056.2,234
NC_000962.3,Rv2238c,Rv2238c,ahpE,2510718,2511176,-,peroxiredoxin,NP_216754.1,459
NC_000962.3,Rv2239c,Rv2239c,,2511179,2511652,-,hypothetical protein,NP_216755.1,474
NC_000962.3,Rv2240c,Rv2240c,,2511693,2512280,-,hypothetical protein,NP_216756.2,588
NC_000962.3,Rv2241,Rv2241,aceE,2512539,2515241,+,pyruvate dehydrogenase E1 component,NP_216757.3,2703
NC_000962.3,Rv2242,Rv2242,,2515304,2516545,+,hypothetical protein,NP_216758.1,1242
NC_000962.3,Rv2243,Rv2243,fabD,2516787,2517692,+,malonyl CoA-acyl carrier protein transacylase,NP_216759.1,906
NC_000962.3,Rv2244,Rv2244,acpM,2517771,2518115,+,meromycolate extension acyl carrier protein,NP_216760.1,345
NC_000962.3,Rv2245,Rv2245,kasA,2518115,2519362,+,3-oxoacyl-ACP synthase 1,NP_216761.1,1248
NC_000962.3,Rv2246,Rv2246,kasB,2519396,2520709,+,3-oxoacyl-ACP synthase 2,NP_216762.1,1314
NC_000962.3,Rv2247,Rv2247,accD6,2520743,2522161,+,acetyl-/propionyl-CoA carboxylase subunit beta,NP_216763.1,1419
NC_000962.3,Rv2248,Rv2248,,2522360,2523172,+,hypothetical protein,NP_216764.1,813
NC_000962.3,Rv2249c,Rv2249c,glpD1,2523244,2524791,-,glycerol-3-phosphate dehydrogenase,NP_216765.1,1548
NC_000962.3,Rv2250c,Rv2250c,,2524788,2525354,-,HTH-type transcriptional regulator,NP_216766.2,567
NC_000962.3,Rv2251,Rv2251,,2525565,2526989,+,flavoprotein,NP_216767.1,1425
NC_000962.3,Rv2252,Rv2252,,2526989,2527915,+,diacylglycerol kinase,NP_216768.1,927
NC_000962.3,Rv2253,Rv2253,,2527984,2528484,+,hypothetical protein,NP_216769.1,501
NC_000962.3,Rv2254c,Rv2254c,,2528523,2528975,-,integral membrane protein,NP_216770.1,453
NC_000962.3,Rv2256a,Rv2256a,,2528983,2529174,-,hypothetical protein,YP_009030037.1,192
NC_000962.3,Rv2256c,Rv2256c,,2529344,2529874,-,hypothetical protein,NP_216772.1,531
NC_000962.3,Rv2257c,Rv2257c,,2530007,2530822,-,hypothetical protein,NP_216773.1,816
NC_000962.3,Rv2258c,Rv2258c,,2530839,2531897,-,transcriptional regulator,NP_216774.1,1059
NC_000962.3,Rv2259,Rv2259,mscR,2532245,2533327,+,S-nitrosomycothiol reductase MscR,NP_216775.1,1083
NC_000962.3,Rv2260,Rv2260,,2533330,2533962,+,hypothetical protein,NP_216776.1,633
NC_000962.3,Rv2263,Rv2263,,2535641,2536591,+,oxidoreductase,NP_216779.1,951
NC_000962.3,Rv2264c,Rv2264c,,2536575,2538350,-,hypothetical protein,NP_216780.1,1776
NC_000962.3,Rv2265,Rv2265,,2538700,2539926,+,integral membrane protein,NP_216781.1,1227
NC_000962.3,Rv2266,Rv2266,cyp124,2540104,2541387,+,cytochrome P450 Cyp124,NP_216782.1,1284
NC_000962.3,Rv2267c,Rv2267c,,2541647,2542810,-,hypothetical protein,NP_216783.1,1164
NC_000962.3,Rv2268c,Rv2268c,cyp128,2542810,2544276,-,cytochrome P450 Cyp128,NP_216784.1,1467
NC_000962.3,Rv2269c,Rv2269c,,2544292,2544621,-,hypothetical protein,NP_216785.1,330
NC_000962.3,Rv2270,Rv2270,lppN,2544698,2545222,+,lipoprotein LppN,NP_216786.1,525
NC_000962.3,Rv2271,Rv2271,,2545332,2545628,+,hypothetical protein,NP_216787.1,297
NC_000962.3,Rv2272,Rv2272,,2545737,2546102,+,transmembrane protein,NP_216788.1,366
NC_000962.3,Rv2273,Rv2273,,2546102,2546428,+,transmembrane protein,NP_216789.1,327
NC_000962.3,Rv2274c,Rv2274c,mazF8,2546491,2546805,-,toxin MazF8,NP_216790.1,315
NC_000962.3,Rv2274A,Rv2274A,mazE8,2546842,2547087,-,antitoxin MazE8,YP_007410963.1,246
NC_000962.3,Rv2275,Rv2275,,2546883,2547749,+,cyclo(L-tyrosyl-L-tyrosyl) synthase,NP_216791.1,867
NC_000962.3,Rv2276,Rv2276,cyp121,2547749,2548936,+,cytochrome P450 Cyp121,NP_216792.1,1188
NC_000962.3,Rv2277c,Rv2277c,,2549127,2550029,-,glycerolphosphodiesterase,NP_216793.1,903
NC_000962.3,Rv2281,Rv2281,pitB,2553173,2554828,+,phosphate permease,NP_216797.1,1656
NC_000962.3,Rv2282c,Rv2282c,,2554941,2555876,-,LysR family HTH-type transcriptional regulator,NP_216798.1,936
NC_000962.3,Rv2283,Rv2283,,2555941,2556132,+,hypothetical protein,NP_216799.1,192
NC_000962.3,Rv2284,Rv2284,lipM,2556145,2557437,+,esterase LipM,NP_216800.1,1293
NC_000962.3,Rv2285,Rv2285,,2557473,2558807,+,diacylglycerol acyltransferase,NP_216801.1,1335
NC_000962.3,Rv2286c,Rv2286c,,2558880,2559569,-,hypothetical protein,NP_216802.1,690
NC_000962.3,Rv2287,Rv2287,yjcE,2559703,2561328,+,Na(+)/H(+) transporter,NP_216803.1,1626
NC_000962.3,Rv2288,Rv2288,,2561328,2561702,+,hypothetical protein,NP_216804.1,375
NC_000962.3,Rv2289,Rv2289,cdh,2561675,2562454,+,CDP-diacylglycerol pyrophosphatase,NP_216805.1,780
NC_000962.3,Rv2290,Rv2290,lppO,2562599,2563111,+,lipoprotein LppO,NP_216806.1,513
NC_000962.3,Rv2291,Rv2291,sseB,2563174,2564025,+,thiosulfate sulfurtransferase SseB,NP_216807.1,852
NC_000962.3,Rv2292c,Rv2292c,,2564032,2564253,-,hypothetical protein,NP_216808.1,222
NC_000962.3,Rv2293c,Rv2293c,,2564295,2565032,-,hypothetical protein,NP_216809.1,738
NC_000962.3,Rv2294,Rv2294,,2565327,2566547,+,cystathionine beta-lyase,NP_216810.1,1221
NC_000962.3,Rv2295,Rv2295,,2566772,2567407,+,hypothetical protein,NP_216811.1,636
NC_000962.3,Rv2296,Rv2296,,2567504,2568403,+,haloalkane dehalogenase,NP_216812.1,900
NC_000962.3,Rv2297,Rv2297,,2568438,2568887,+,hypothetical protein,NP_216813.1,450
NC_000962.3,Rv2298,Rv2298,,2569082,2570050,+,oxidoreductase,NP_216814.1,969
NC_000962.3,Rv2299c,Rv2299c,htpG,2570062,2572002,-,chaperone protein HtpG,NP_216815.1,1941
NC_000962.3,Rv2300c,Rv2300c,,2572079,2573008,-,metallo-hydrolase,NP_216816.1,930
NC_000962.3,Rv2301,Rv2301,cut2,2573015,2573704,+,cutinase,NP_216817.2,690
NC_000962.3,Rv2302,Rv2302,,2573813,2574052,+,hypothetical protein,NP_216818.1,240
NC_000962.3,Rv2303c,Rv2303c,,2574099,2575019,-,antibiotic-resistance protein,NP_216819.1,921
NC_000962.3,Rv2304c,Rv2304c,,2575019,2575225,-,hypothetical protein,NP_216820.1,207
NC_000962.3,Rv2305,Rv2305,,2575809,2577095,+,hypothetical protein,NP_216821.1,1287
NC_000962.3,Rv2307c,Rv2307c,,2577854,2578696,-,hypothetical protein,NP_216823.1,843
NC_000962.3,Rv2307A,Rv2307A,,2579231,2579419,-,hypothetical protein,YP_177665.1,189
NC_000962.3,Rv2307B,Rv2307B,,2579507,2579935,-,hypothetical protein,YP_177666.1,429
NC_000962.3,Rv2307D,Rv2307D,,2580031,2580210,-,hypothetical protein,YP_177667.1,180
NC_000962.3,Rv2308,Rv2308,,2580419,2581132,+,hypothetical protein,NP_216824.1,714
NC_000962.3,Rv2308a,Rv2308a,,2581145,2581474,+,hypothetical protein,YP_009030038.1,330
NC_000962.3,Rv2309A,Rv2309A,,2583045,2583329,+,hypothetical protein,YP_177668.1,285
NC_000962.3,Rv2310,Rv2310,,2583435,2583776,+,excisionase,NP_216826.1,342
NC_000962.3,Rv2311,Rv2311,,2583884,2584405,+,hypothetical protein,NP_216827.1,522
NC_000962.3,Rv2312,Rv2312,,2584486,2584752,+,hypothetical protein,NP_216828.1,267
NC_000962.3,Rv2313c,Rv2313c,,2585055,2585906,-,hypothetical protein,NP_216829.1,852
NC_000962.3,Rv2314c,Rv2314c,,2585920,2587290,-,hypothetical protein,NP_216830.1,1371
NC_000962.3,Rv2315c,Rv2315c,,2587290,2588804,-,hypothetical protein,NP_216831.1,1515
NC_000962.3,Rv2316,Rv2316,uspA,2588838,2589707,+,sugar ABC transporter permease UspA,NP_216832.1,870
NC_000962.3,Rv2317,Rv2317,uspB,2589697,2590518,+,sugar ABC transporter permease UspB,YP_177866.1,822
NC_000962.3,Rv2318,Rv2318,uspC,2590518,2591837,+,sugar ABC transporter substrate-binding lipoprotein UspC,NP_216834.1,1320
NC_000962.3,Rv2319c,Rv2319c,,2591851,2592726,-,universal stress protein,NP_216835.1,876
NC_000962.3,Rv2320c,Rv2320c,rocE,2592726,2594153,-,cationic amino acid transporter permease RocE,NP_216836.1,1428
NC_000962.3,Rv2323c,Rv2323c,,2595364,2596269,-,hypothetical protein,NP_216839.1,906
NC_000962.3,Rv2324,Rv2324,,2596334,2596777,+,AsnC family transcriptional regulator,NP_216840.1,444
NC_000962.3,Rv2325c,Rv2325c,,2597012,2597857,-,hypothetical protein,NP_216841.1,846
NC_000962.3,Rv2326c,Rv2326c,,2597857,2599947,-,ABC transporter ATP-binding protein,NP_216842.1,2091
NC_000962.3,Rv2327,Rv2327,,2599988,2600476,+,hypothetical protein,NP_216843.1,489
NC_000962.3,Rv2328,Rv2328,PE23,2600731,2601876,+,PE family protein PE23,YP_177867.1,1146
NC_000962.3,Rv2329c,Rv2329c,narK1,2601917,2603461,-,nitrate/nitrite transporter,NP_216845.1,1545
NC_000962.3,Rv2330c,Rv2330c,lppP,2603698,2604222,-,lipoprotein LppP,NP_216846.1,525
NC_000962.3,Rv2331,Rv2331,,2604297,2604680,+,hypothetical protein,NP_216847.1,384
NC_000962.3,Rv2331A,Rv2331A,,2604740,2605075,+,hypothetical protein,YP_177669.1,336
NC_000962.3,Rv2332,Rv2332,mez,2605108,2606751,+,malate oxidoreductase,NP_216848.2,1644
NC_000962.3,Rv2333c,Rv2333c,stp,2606711,2608321,-,multidrug resistance protein,NP_216849.1,1611
NC_000962.3,Rv2334,Rv2334,cysK1,2608796,2609725,+,O-acetylserine sulfhydrylase,YP_177868.1,930
NC_000962.3,Rv2335,Rv2335,cysE,2609732,2610418,+,serine acetyltransferase,NP_216851.1,687
NC_000962.3,Rv2336,Rv2336,,2610837,2611802,+,hypothetical protein,NP_216852.1,966
NC_000962.3,Rv2337c,Rv2337c,,2611872,2612987,-,hypothetical protein,NP_216853.1,1116
NC_000962.3,Rv2338c,Rv2338c,moeW,2613110,2614063,-,molybdopterin biosynthesis protein MoeW,NP_216854.1,954
NC_000962.3,Rv2339,Rv2339,mmpL9,2614693,2617578,+,transmembrane transport protein MmpL9,NP_216855.1,2886
NC_000962.3,Rv2340c,Rv2340c,PE_PGRS39,2617670,2618908,-,PE-PGRS family protein PE_PGRS39,YP_177869.1,1239
NC_000962.3,Rv2341,Rv2341,lppQ,2619597,2620013,+,lipoprotein LppQ,NP_216857.1,417
NC_000962.3,Rv2342,Rv2342,,2620272,2620526,+,hypothetical protein,NP_216858.1,255
NC_000962.3,Rv2343c,Rv2343c,dnaG,2620536,2622452,-,DNA primase,NP_216859.1,1917
NC_000962.3,Rv2344c,Rv2344c,dgt,2622460,2623752,-,deoxyguanosine triphosphate triphosphohydrolase,NP_216860.1,1293
NC_000962.3,Rv2345,Rv2345,,2623821,2625800,+,transmembrane protein,NP_216861.1,1980
NC_000962.3,Rv2346c,Rv2346c,esxO,2625891,2626172,-,ESAT-6 like protein EsxO,NP_216862.1,282
NC_000962.3,Rv2347c,Rv2347c,esxP,2626226,2626519,-,ESAT-6 like protein EsxP,NP_216863.1,294
NC_000962.3,Rv2348c,Rv2348c,,2626657,2626980,-,hypothetical protein,NP_216864.1,324
NC_000962.3,Rv2349c,Rv2349c,plcC,2627175,2628698,-,phospholipase C,NP_216865.1,1524
NC_000962.3,Rv2350c,Rv2350c,plcB,2628784,2630319,-,membrane-associated phospholipase B,NP_216866.1,1536
NC_000962.3,Rv2351c,Rv2351c,plcA,2630540,2632075,-,membrane-associated phospholipase A,NP_216867.1,1536
NC_000962.3,Rv2352c,Rv2352c,PPE38,2632926,2634098,-,PPE family protein PPE38,YP_177870.1,1173
NC_000962.3,Rv2353c,Rv2353c,PPE39,2634531,2635592,-,PPE family protein PPE39,YP_177871.1,1062
NC_000962.3,Rv2357c,Rv2357c,glyS,2639676,2641064,-,glycine--tRNA ligase,NP_216873.1,1389
NC_000962.3,Rv2358,Rv2358,smtB,2641246,2641650,+,HTH-type transcriptional regulator SmtB,NP_216874.1,405
NC_000962.3,Rv2359,Rv2359,zur,2641650,2642039,+,zinc uptake regulation protein,NP_216875.1,390
NC_000962.3,Rv2360c,Rv2360c,,2642153,2642578,-,hypothetical protein,NP_216876.1,426
NC_000962.3,Rv2361c,Rv2361c,,2642581,2643468,-,decaprenyl diphosphate synthase,NP_216877.1,888
NC_000962.3,Rv2362c,Rv2362c,recO,2643464,2644258,-,DNA repair protein RecO,NP_216878.1,795
NC_000962.3,Rv2363,Rv2363,amiA2,2644320,2645771,+,amidase,NP_216879.1,1452
NC_000962.3,Rv2364c,Rv2364c,era,2645774,2646673,-,GTPase Era,YP_177873.1,900
NC_000962.3,Rv2365c,Rv2365c,,2646750,2647088,-,hypothetical protein,NP_216881.1,339
NC_000962.3,Rv2366c,Rv2366c,,2647063,2648367,-,transmembrane protein,NP_216882.1,1305
NC_000962.3,Rv2367c,Rv2367c,,2648367,2648912,-,endoribonuclease,NP_216883.1,546
NC_000962.3,Rv2368c,Rv2368c,phoH1,2648919,2649974,-,phosphate starvation-inducible protein PhoH,YP_177874.1,1056
NC_000962.3,Rv2369c,Rv2369c,,2649949,2650248,-,hypothetical protein,NP_216885.1,300
NC_000962.3,Rv2370c,Rv2370c,,2650248,2651558,-,hypothetical protein,NP_216886.1,1311
NC_000962.3,Rv2371,Rv2371,PE_PGRS40,2651753,2651935,+,PE-PGRS family protein PE_PGRS40,YP_177875.1,183
NC_000962.3,Rv2372c,Rv2372c,,2652040,2652825,-,rRNA small subunit methyltransferase E,NP_216888.1,786
NC_000962.3,Rv2373c,Rv2373c,dnaJ2,2652842,2653987,-,chaperone protein DnaJ,NP_216889.1,1146
NC_000962.3,Rv2374c,Rv2374c,hrcA,2654065,2655093,-,heat-inducible transcription repressor HrcA,NP_216890.1,1029
NC_000962.3,Rv2375,Rv2375,,2655265,2655579,+,hypothetical protein,NP_216891.1,315
NC_000962.3,Rv2376c,Rv2376c,cfp2,2655612,2656115,-,low molecular weight antigen MTB12,NP_216892.1,504
NC_000962.3,Rv2377c,Rv2377c,,2656218,2656430,-,hypothetical protein,NP_216893.1,213
NC_000962.3,Rv2378c,Rv2378c,mbtG,2656411,2657703,-,L-lysine N6-monooxygenase,NP_216894.1,1293
NC_000962.3,Rv2379c,Rv2379c,mbtF,2657703,2662085,-,peptide synthetase,NP_216895.1,4383
NC_000962.3,Rv2380c,Rv2380c,mbtE,2662070,2667115,-,peptide synthetase,NP_216896.3,5046
NC_000962.3,Rv2381c,Rv2381c,mbtD,2667258,2670269,-,polyketide synthetase,NP_216897.1,3012
NC_000962.3,Rv2382c,Rv2382c,mbtC,2670272,2671603,-,polyketide synthetase,NP_216898.1,1332
NC_000962.3,Rv2383c,Rv2383c,mbtB,2671596,2675837,-,phenyloxazoline synthase,NP_216899.1,4242
NC_000962.3,Rv2384,Rv2384,mbtA,2675936,2677630,+,"2,3-dihydroxybenzoate-AMP ligase",NP_216900.1,1695
NC_000962.3,Rv2385,Rv2385,mbtJ,2677729,2678646,+,acetyl hydrolase,YP_177876.1,918
NC_000962.3,Rv2386c,Rv2386c,mbtI,2678656,2680005,-,salicylate synthase,YP_177877.1,1350
NC_000962.3,Rv2386a,Rv2386a,,2680458,2680664,+,hypothetical protein,YP_009030039.1,207
NC_000962.3,Rv2387,Rv2387,,2680765,2682015,+,hypothetical protein,NP_216903.1,1251
NC_000962.3,Rv2388c,Rv2388c,hemN,2682018,2683142,-,oxygen-independent coproporphyrinogen III oxidase,NP_216904.1,1125
NC_000962.3,Rv2389c,Rv2389c,rpfD,2683251,2683712,-,resuscitation-promoting factor RpfD,NP_216905.1,462
NC_000962.3,Rv2390c,Rv2390c,,2683712,2684266,-,hypothetical protein,NP_216906.1,555
NC_000962.3,Rv2391,Rv2391,sirA,2684679,2686367,+,sulfite reductase,NP_216907.1,1689
NC_000962.3,Rv2392,Rv2392,cysH,2686367,2687128,+,phosphoadenosine phosphosulfate reductase,NP_216908.1,762
NC_000962.3,Rv2393,Rv2393,che1,2687128,2687970,+,ferrochelatase,NP_216909.1,843
NC_000962.3,Rv2394,Rv2394,ggtB,2688010,2689938,+,gamma-glutamyltranspeptidase precursor GgtB,NP_216910.1,1929
NC_000962.3,Rv2395,Rv2395,,2690072,2692072,+,integral membrane protein,NP_216911.1,2001
NC_000962.3,Rv2395A,Rv2395A,aprA,2692224,2692436,+,acid and phagosome regulated protein AprA,YP_007411091.1,213
NC_000962.3,Rv2395B,Rv2395B,aprB,2692551,2692712,+,acid and phagosome regulated protein AprB,YP_007411092.1,162
NC_000962.3,Rv2396,Rv2396,PE_PGRS41,2692799,2693881,+,acid and phagosome regulated protein AprC,YP_177878.1,1083
